Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"PHELPS, Brian Eric",GBR,Men,10m platform,M,Bronze
Aquatics,Diving,"WEBSTER, Robert David",USA,Men,10m platform,M,Gold
Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,10m platform,M,Silver
Aquatics,Diving,"KRUTOVA, Ninel",URS,Women,10m platform,W,Bronze
Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,10m platform,W,Gold
Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10m platform,W,Silver
Aquatics,Diving,"BOTELLA MEDINA, Juan",MEX,Men,3m springboard,M,Bronze
Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"HALL, Samuel Nesley",USA,Men,3m springboard,M,Silver
Aquatics,Diving,"FERRIS, Elizabeth Anne E.",GBR,Women,3m springboard,W,Bronze
Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,3m springboard,W,Gold
Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,3m springboard,W,Silver
Aquatics,Swimming,"BENNETT, Robert Earl",USA,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100m backstroke,M,Gold
Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"TANAKA, Satoko",JPN,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"BURKE, Lynn Edythe",USA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m backstroke,W,Silver
Aquatics,Swimming,"ANDREW, Janice",AUS,Women,100m butterfly,W,Bronze
Aquatics,Swimming,"SCHULER, Carolyn Jane",USA,Women,100m butterfly,W,Gold
Aquatics,Swimming,"HEEMSKERK, Marianne Yvonne",NED,Women,100m butterfly,W,Silver
Aquatics,Swimming,"DOS SANTOS, Manoel",BRA,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Gold
Aquatics,Swimming,"LARSON, Lance Melvin",USA,Men,100m freestyle,M,Silver
Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"FRASER, Dawn",AUS,Women,100m freestyle,W,Gold
Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,100m freestyle,W,Silver
Aquatics,Swimming,"BREEN, George Thomas",USA,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"KONRADS, John (Jon)",AUS,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"ROSE, Murray",AUS,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"MENSONIDES, Wieger Emile",NED,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"MULLIKEN, William Danforth",USA,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"OSAKI, Yoshihiko",JPN,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"GÖBEL, Barbara",EUA,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"LONSBROUGH, Anita",GBR,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"URSELMANN, Wiltrud",EUA,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"GILLANDERS, John David",USA,Men,200m butterfly,M,Bronze
Aquatics,Swimming,"TROY, Michael Francis",USA,Men,200m butterfly,M,Gold
Aquatics,Swimming,"HAYES, Neville",AUS,Men,200m butterfly,M,Silver
Aquatics,Swimming,"KONRADS, John (Jon)",AUS,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"ROSE, Murray",AUS,Men,400m freestyle,M,Gold
Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,400m freestyle,M,Silver
Aquatics,Swimming,"LAGERBERG, Catharina (Tineke)",NED,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,400m freestyle,W,Gold
Aquatics,Swimming,"CEDERQVIST, Jane",SWE,Women,400m freestyle,W,Silver
Aquatics,Swimming,"BRUNNER, Ursula",EUA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"PECHSTEIN, Heidi",EUA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"STEFFIN, Christel",EUA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"WEISS, Gisela",EUA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"SPILLANE, Joan Arlene",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"STOBS, Shirley Anne",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"WOOD, Carolyn Virginia",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"COLQUHOUN, Alva",AUS,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Women,4x100m freestyle relay,W,Silver
