gradrat,lenroll,rmbrd,private,stufac,csat,act
59.0,5.1761497326,3.75,1.0,10.8,.,21.0
52.0,4.7791234931,3.74,1.0,17.7,.,21.0
75.0,6.122492809500001,.,1.0,11.4,1052.0,24.0
56.0,5.3181199938,4.1,1.0,11.6,940.0,23.0
71.0,5.631211781799999,.,1.0,18.3,.,17.0
76.0,5.730099782999999,.,1.0,16.4,1039.0,25.0
74.0,5.170483995,4.345,1.0,13.1,992.0,22.0
56.0,7.7819732344000005,.,0.0,17.3,.,22.0
92.0,7.5506612430999995,.,1.0,6.8,1270.0,29.0
54.0,5.961005339600001,.,1.0,14.6,.,.
90.0,4.8598124044,5.343999999999999,1.0,9.6,1044.0,.
80.0,5.6937321388,4.14,1.0,16.3,1024.0,23.0
.,5.2781146592,.,1.0,12.3,.,21.0
77.0,5.3844950628,.,1.0,12.2,.,19.0
81.0,4.9487598904,.,1.0,12.9,.,.
44.0,7.6769371458,3.2560000000000002,0.0,14.9,.,22.0
43.0,6.901737206699999,3.5980000000000003,0.0,16.5,.,21.0
75.0,5.5947113796000005,.,1.0,11.6,.,23.0
55.0,5.6869753563,4.624,1.0,13.7,.,20.0
28.0,5.7589017739,4.11,1.0,21.9,.,.
90.0,6.8265452236,6.38,1.0,5.3,.,.
81.0,8.6490982623,4.574,0.0,17.4,1139.0,27.0
34.0,7.9047039139,5.088,0.0,10.0,.,21.0
55.0,7.3543623304,3.193,0.0,17.2,.,22.0
85.0,6.306275286900001,4.2,1.0,12.7,.,.
59.0,6.047372179,3.52,1.0,12.1,885.0,21.0
51.0,8.255568653300001,.,0.0,17.7,895.0,21.0
.,5.5872486584,3.0,1.0,14.6,943.0,22.0
83.0,6.551080335,4.65,1.0,10.9,1028.0,25.0
82.0,6.2045577625999995,5.02,1.0,11.1,.,.
78.0,5.6131281064,4.056,1.0,10.6,1120.0,25.0
77.0,6.5424719604999995,4.34,1.0,15.8,1036.0,.
60.0,5.638354669299999,4.04,1.0,12.5,1013.0,22.0
72.0,5.3981627014999995,3.73,1.0,9.9,1006.0,.
64.0,5.1179938124,3.818,1.0,15.3,.,21.0
64.0,5.7589017739,3.485,1.0,10.6,1040.0,24.0
47.0,4.8283137373,.,1.0,11.8,902.0,21.0
69.0,5.961005339600001,.,1.0,11.1,919.0,21.0
.,5.1179938124,.,1.0,15.4,937.0,22.0
38.0,7.163946684299999,3.1919999999999997,0.0,22.0,813.0,18.0
68.0,8.6781208555,.,0.0,21.3,996.0,24.0
24.0,6.4232469635000005,.,0.0,13.8,.,.
41.0,7.4465850992,.,0.0,16.0,.,.
25.0,7.74109909,.,0.0,10.4,816.0,19.0
23.0,6.5834092222,.,0.0,14.7,802.0,.
33.0,6.8101424501,.,0.0,18.2,.,.
33.0,6.8875525717,.,0.0,14.4,.,.
33.0,6.8145428973,.,0.0,16.7,.,.
64.0,5.4764635519,3.85,1.0,11.8,950.0,22.0
61.0,5.4722706737,.,1.0,10.4,867.0,.
34.0,5.902633333400001,3.782,1.0,39.8,863.0,21.0
62.0,5.6167710977,2.984,1.0,11.5,.,.
67.0,8.6782911118,.,0.0,18.2,998.0,24.0
.,.,.,0.0,.,890.0,22.0
97.0,5.9427993751,4.206,1.0,13.6,1210.0,30.0
48.0,4.4426512565,.,1.0,12.5,860.0,21.0
67.0,5.4161004022000006,.,1.0,14.8,917.0,22.0
.,5.170483995,.,1.0,10.6,.,.
75.0,4.4773368145,4.13,1.0,10.2,814.0,20.0
98.0,5.9738096119,4.513999999999999,1.0,9.9,1026.0,25.0
.,3.5835189385,.,1.0,4.9,.,.
98.0,6.0799331951,4.0,1.0,14.2,1092.0,25.0
65.0,5.620400865700001,.,1.0,12.8,911.0,21.0
97.0,7.552762084199999,.,1.0,13.1,1220.0,.
95.0,6.2538288116,3.26,1.0,14.2,.,.
72.0,5.5451774445,4.195,1.0,9.9,.,.
40.0,8.0542048971,.,0.0,16.6,825.0,20.0
65.0,5.3278761688,4.1,1.0,11.0,.,23.0
48.0,5.2983173665,3.363,1.0,11.6,.,23.0
56.0,4.804021044700001,3.58,1.0,8.8,.,22.0
44.0,6.6920837425,.,0.0,18.1,.,.
49.0,5.1474944768,.,1.0,25.0,.,20.0
58.0,6.7007311095,.,0.0,23.2,.,21.0
50.0,6.7487595475,3.1439999999999997,0.0,19.3,.,20.0
54.0,7.949091499800001,.,0.0,18.5,.,.
68.0,4.9972122738,3.25,1.0,12.4,.,21.0
48.0,4.5325994932,3.75,1.0,9.8,.,22.0
46.0,5.463831805,3.245,1.0,14.5,.,.
52.0,4.3174881135000005,.,1.0,11.8,.,21.0
53.0,4.189654742,.,1.0,8.2,.,.
36.0,4.8441870865,.,1.0,16.1,843.0,22.0
53.0,4.6913478822000005,3.41,1.0,10.0,.,22.0
57.0,8.2109397334,.,0.0,13.7,.,23.0
53.0,6.3279367837,3.21,0.0,13.8,.,.
32.0,6.797940412999999,.,0.0,20.4,.,21.0
49.0,5.4161004022000006,.,1.0,15.4,.,22.0
58.0,5.4026773819,3.85,1.0,14.1,.,.
31.0,5.6664266881,2.48,1.0,19.4,.,.
.,5.634789603200001,2.764,1.0,12.1,989.0,23.0
84.0,5.730099782999999,2.95,1.0,13.1,989.0,23.0
57.0,6.120297419,2.835,1.0,13.2,979.0,22.0
56.0,4.5951198501,.,1.0,10.1,.,.
49.0,5.6970934865,3.07,1.0,17.7,.,.
89.0,4.574710978500001,.,1.0,10.6,.,20.0
74.0,5.6629604801,4.27,1.0,11.4,1109.0,27.0
63.0,5.986452005299999,.,1.0,13.0,890.0,21.0
39.0,7.8018004019000005,3.196,0.0,19.8,.,19.0
55.0,5.655991810800001,3.95,1.0,13.3,.,22.0
19.0,6.0497334552,2.682,0.0,15.0,.,.
62.0,5.1647859739,4.15,1.0,11.3,860.0,22.0
.,5.9454206086,3.55,1.0,19.3,.,18.0
52.0,7.1701195434,.,0.0,19.9,.,20.0
52.0,7.0817085861,3.11,0.0,20.2,.,22.0
61.0,5.1298987149,.,1.0,13.4,.,.
70.0,5.497168225299999,4.45,1.0,12.1,1096.0,26.0
64.0,5.1761497326,.,1.0,14.1,830.0,20.0
52.0,7.891704659299999,.,0.0,12.2,.,25.0
31.0,7.508238774700001,.,0.0,11.1,.,21.0
66.0,5.3844950628,3.892,1.0,10.5,964.0,23.0
45.0,7.6410842491999995,3.1489999999999996,0.0,19.1,.,.
52.0,7.427738840499999,.,0.0,17.7,.,.
66.0,5.3471075307,3.49,1.0,11.3,1060.0,25.0
61.0,6.478509642200001,.,1.0,14.1,.,20.0
36.0,6.9957661563,.,0.0,21.8,.,19.0
58.0,7.5496091652,1.306,0.0,24.6,.,.
59.0,5.356586274700001,.,1.0,10.5,.,.
45.0,7.329749689,2.325,0.0,20.0,.,22.0
37.0,8.0323601479,2.98,0.0,15.9,997.0,23.0
35.0,6.2146080984,.,0.0,18.1,.,.
19.0,7.3138868316,3.123,0.0,17.9,947.0,21.0
53.0,6.5778613577,5.87,1.0,11.7,1050.0,25.0
34.0,7.329749689,2.31,0.0,21.1,.,19.0
21.0,7.5175208505999995,.,0.0,20.6,.,20.0
33.0,7.1929342212,2.2159999999999997,0.0,29.5,.,20.0
73.0,5.1416635565,.,1.0,16.1,.,.
29.0,7.7393592027,2.23,0.0,24.3,.,19.0
35.0,6.1944053911,.,0.0,19.6,.,17.0
74.0,7.1090621357,5.95,1.0,9.1,.,.
30.0,7.887584031699999,.,0.0,22.7,.,19.0
49.0,6.543911845599999,.,1.0,14.4,890.0,21.0
33.0,7.4448332739,2.716,0.0,15.9,.,17.0
69.0,5.393627546399999,.,1.0,14.7,.,.
100.0,6.0354814325,5.3,1.0,8.4,1324.0,25.0
82.0,4.4067192473,.,1.0,11.7,.,.
88.0,6.1964441277999995,.,1.0,13.8,.,.
80.0,6.2422232655,6.2,1.0,16.8,1000.0,.
94.0,6.008813185399999,6.985,1.0,16.8,.,.
82.0,6.4614681763999995,5.51,1.0,17.5,.,.
38.0,6.5680779114,.,1.0,10.2,.,.
90.0,7.6750818576999995,6.96,1.0,16.6,.,.
72.0,8.2453844681,6.81,1.0,11.9,1150.0,26.0
46.0,5.0172798368,6.25,1.0,10.2,.,.
84.0,6.6066501862,6.75,1.0,9.8,.,.
